,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
AF01_HO.bmp,0.2510609,0.2584493,0.21225199,0.2456365,0.91119766,1.0,0.53076047,0.7733182,1.0,0.9778275,0.83223486,0.04283723,0.14814594,1.0,0.15596502,0.044192836,0.99981993,0.8827692,0.039387748,0.06888142
AF01_NC.bmp,0.2960697,0.18176572,0.3920655,0.3244819,0.098693475,0.0,0.07205177,0.0012533183,0.0,0.031415887,0.1881788,0.3118793,0.5298636,0.0,0.44992235,0.43682545,0.022825608,0.097798355,0.15387131,0.027639836
AF01_NO.bmp,0.24970834,0.10501067,0.55554557,0.31764603,0.09736701,0.0,0.09647227,0.16694996,0.0,0.022806652,0.17563593,0.042644855,0.47720313,0.0,0.31703556,0.30397597,0.46363744,0.2710923,0.14951892,0.033809453
AF01_SC.bmp,0.18827984,0.07139567,0.3363486,0.3303553,0.086205065,0.0,0.09841001,0.32347712,1.0,0.017109878,0.20745555,0.15025584,0.46152478,0.0,0.12089463,0.4081834,0.005424921,0.13163103,0.10622231,0.061065998
AF01_SUR.bmp,0.4843074,0.26279473,0.29926938,0.33572608,0.145976,1.0,0.10439729,0.035645336,0.0,0.1379448,0.09879783,0.11143143,0.31474018,1.0,0.2757343,0.011375134,0.9997453,0.83440125,0.058932416,0.050173502
AF02_AC.bmp,0.22568902,0.13486966,0.47227058,0.347193,0.072604015,1.0,0.06887846,0.005789865,0.0,0.052580923,0.37348276,0.40063167,0.65527856,0.0,0.6596532,0.8222407,0.018426822,0.13494885,0.67338604,0.027531605
AF02_AO.bmp,0.18346849,0.18217479,0.72147125,0.21848513,0.70782447,1.0,0.739537,0.9750396,1.0,0.7678662,0.3681236,0.715546,0.30589914,1.0,0.54617685,0.01119822,0.9997205,0.801445,0.08636644,0.4399617
AF02_CC.bmp,0.58617187,0.38698846,0.09071871,0.2637928,0.17623168,0.0,0.100629404,0.13786893,1.0,0.31444585,0.8046592,0.62632513,0.59962296,0.0,0.84809196,0.78456837,0.01250314,0.12570874,0.6894393,0.054890323
AF02_CO.bmp,0.5726462,0.21335356,0.088126086,0.269369,0.6109567,1.0,0.2635019,0.96248704,1.0,0.8676694,0.8511207,0.6377369,0.51416785,1.0,0.83284795,0.5904689,0.20817752,0.4564275,0.33839145,0.04657794
AF02_DC.bmp,0.30093664,0.1120142,0.76592916,0.21765861,0.6108174,1.0,0.7493092,0.32237795,0.0,0.6465574,0.65750736,0.66610783,0.6061246,0.0,0.57988244,0.64942455,0.10122463,0.3937637,0.37679175,0.3209631
AF02_DO.bmp,0.27831444,0.19023061,0.84257984,0.2452729,0.4293929,1.0,0.79865736,0.93778765,0.0,0.5301301,0.31996745,0.66072476,0.2011137,1.0,0.41242623,0.0076647755,0.999949,0.9461522,0.09382371,0.76445377
AF02_FC.bmp,0.94588214,0.8154543,0.112163484,0.689233,0.16563489,1.0,0.07796975,0.40362254,1.0,0.3546528,0.73191607,0.5229946,0.6820716,0.0,0.7208672,0.82050014,0.06592276,0.3001518,0.88029885,0.065223604
AF02_FO.bmp,0.92329013,0.71797556,0.40423498,0.62765247,0.2071792,1.0,0.16937687,0.39439747,1.0,0.29903078,0.387295,0.7793152,0.39903656,1.0,0.40024742,0.16753669,0.999067,0.4296308,0.15615672,0.15023075
AF02_HC.bmp,0.40998974,0.2631967,0.11247692,0.23497625,0.89773875,1.0,0.499877,0.92499894,0.0,0.97591454,0.8011697,0.23053667,0.37050247,1.0,0.4938133,0.45980516,0.8997607,0.39947754,0.22916475,0.1533961
AF02_HE.bmp,0.32225427,0.2886142,0.06703739,0.24297793,0.9215651,1.0,0.71103764,0.989737,0.0,0.9873645,0.5326581,0.051556088,0.22963317,1.0,0.1744213,0.017463926,0.99996483,0.868182,0.07227615,0.18457073
AF02_HO.bmp,0.40401256,0.31870684,0.08662676,0.23611444,0.9088539,1.0,0.5797982,0.99683964,1.0,0.98464876,0.68751323,0.043990098,0.3446281,1.0,0.16123897,0.028407175,0.99993145,0.7971861,0.09891585,0.12882294
AF02_NC.bmp,0.55176204,0.46744227,0.13520783,0.28198588,0.10768955,0.0,0.07321858,0.0137448795,1.0,0.1379193,0.713123,0.411264,0.5476044,0.0,0.71207696,0.7530411,0.09003383,0.21239215,0.52972007,0.048521634
AF02_NO.bmp,0.58794814,0.33933175,0.113309905,0.28198588,0.11184096,0.0,0.07194727,0.029731449,0.0,0.1428036,0.6300592,0.44036186,0.6089066,0.0,0.6266431,0.6386096,0.4089445,0.3354155,0.839515,0.068686396
AF02_SC.bmp,0.8877085,0.5683639,0.20781061,0.45923325,0.102909915,0.0,0.07510749,0.16462243,0.0,0.024392763,0.32640657,0.8761109,0.6925827,0.0,0.38607982,0.5337662,0.07870767,0.18170974,0.3038871,0.0747023
AF02_SO.bmp,0.8824076,0.59089166,0.2305607,0.23306474,0.4233219,0.0,0.36013335,0.29088542,0.0,0.5675827,0.48362085,0.6301924,0.3827579,1.0,0.47805834,0.020773612,0.99368614,0.94726866,0.15409781,0.42776388
